program.program_id,api_source_search,core_project_num,project_num,earliest_fiscal_year
ADMIRALStudyAdmixtureanalysisofacutelymphoblasticleukemiainAfricanAmericanchildren,1,1,4,2020
ADVANCEDDEVELOPMENTOFINFORMATICSTECHNOLOGIESFORCANCERRESEARCHANDMANAGEMENT,4,56,187,2016
ADataResourceforBloodandMarrowTransplantsandAdoptiveCellularTherapyResearch,3,1,12,2013
AIDSandCancerSpecimenResourceACSR,1,1,5,2019
AcceleratingColorectalCancerScreeningandfollowupthroughImplementationScienceACCSIS,3,11,28,2018
AcquiredResistancetoTherapyNetworkARTNet,2,6,12,2022
AllofUs,5,1976,3498,2018
BarrettsEsophagusTranslationalResearchNetworkBETRNet,3,4,40,2011
BrainTumorSPOREGrant,1,1,27,2002
CANCERIMMUNEMONITORINGANDANALYSISCENTERS,2,4,8,2017
CONSORTIUMFORPANCREATICDUCTALADENOCARCINOMAPDACTRANSLATIONALSTUDIES,2,6,19,2017
CancerGenomeCharacterizationInitiative,2,2,2,2013
CancerImmunologicDataCommons,2,5,5,2017
CancerPreventionClinicalTrialsNetworkCPCTNet,3,6,29,2019
CancerPreventionInterceptionTargetedAgentDiscoveryProgram,2,3,5,2022
CancerSystemsBiologyConsortiumCSBC,6,56,239,2016
CanineCancerImmunotherapyNetwork,2,6,12,2022
CellularCancerBiologyImagingResearch,1,4,9,2021
ChildhoodCancerSurvivorStudy,1,1,2,2022
CityofHopeLymphomaSPORE,1,1,18,2004
ClinicalProteomicTumorAnalysisConsortium,2,8,40,2016
CoClinicalImagingResearchResourceProgram,3,9,42,2017
ConnectingUnderrepresentedPopulationstoClinicalTrialsCUSP2CT,2,5,10,2022
DanaFarberHarvardCancerCenterKidneyCancerSPORE,1,1,20,2003
DanaFarberHarvardCancerCenterOvarianCancerSPOREgrant,1,1,4,2020
DanaFarberHarvardCancerCenterSPOREinBreastCancer,1,1,10,2013
DanaFarberHarvardCancerCenterSPOREinGastrointestinalCancer,1,1,15,2007
DevelopmentandExpansionofDigitalToolstoSupportSmokingCessation,1,1,1,2019
EmoryUniversityLungCancerSPORE,1,1,5,2019
EpigeneticTherapiesNewApproaches,1,1,3,2021
ExerciseandNutritionInterventionstoImproveCancerTreatmentRelatedOutcomes,2,5,10,2022
FredHutchinsonCancerResearchCenterLungSPORE,1,1,6,2019
FusionOncoproteinsinChildhoodCancersFusOnc2,2,9,16,2018
GenomicDataAnalysisNetwork,4,24,100,2016
HIVAssociatedMalignancyResearchCenters,2,10,31,2020
HIVCervicalCancerPreventionCASCADEClinicalTrialsNetwork,4,13,20,2022
HumanTumorAtlasNetwork,3,11,33,2018
ImprovingManagementofSymptomsAcrossCancerTreatments,2,4,4,2018
MDAndersonCancerCenterSPOREinGastrointestinalCancer,1,1,5,2019
MSKSPOREinGenomicInstabilityinBreastCancer,1,1,4,2020
MayoClinicHepatobiliarySPORE,1,1,10,2018
MetabolicDysregulationandCancerRiskProgram,2,6,12,2022
OncologyModelsForumU24,4,67,221,2015
PancreaticAdenocarcinomaStromalReprogramingConSortiumPSRCPASSCODE,2,7,15,2022
PancreaticCancerMicroenvironmentNetwork,2,6,19,2017
ParticipantEngagementandCancerGenomeSequencing,2,6,22,2020
PediatricPreclinicalinVivoTestingPIVOT,3,10,49,2015
SPORETargetedTherapiesforGlioma,1,1,15,2013
SPOREUniversityofTexasMDAndersonCancerCenterLeukemia,1,1,23,2003
SPOREforTranslationalApproachestoBrainCancer,1,1,6,2018
SPOREinBladderCancer,1,1,5,2018
SPOREinBrainCancer,1,1,17,2008
SPOREinBreastCancer,2,2,59,2000
SPOREinGastrointestinalCancers,1,1,31,2000
SPOREinMyeloidMalignancies,1,1,6,2017
SmallCellLungCancerSCLCConsortium,5,21,95,2017
SpecializedProgramOfResearchExcellenceSPOREinLeukemia,1,1,17,2013
THECHERNOBYLTISSUEBANKCOORDINATINGCENTER,2,1,11,2012
TheAdjuvantLungCancerEnrichmentMarkerIdentificationandSequencingTrialsALCHEMIST,3,3,68,2000
TheEarlyDetectionResearchNetworkEDRN,7,32,159,2016
TheMemorialSloanKetteringCancerCenterSPOREinLeukemia,1,1,3,2021
TheUniversityofTexasMDAndersonCancerCenterSPOREinHepatocellularCarcinoma,1,1,5,2019
TranslationalandBasicScienceResearchinEarlyLesions,2,6,12,2022
UniversityofTexasSPOREinLungCancer,1,1,37,2000
VanderbiltIngramCancerCenterSPOREinGastrointestinalCancer,1,1,6,2019
YaleSPOREinLungCancerYSILCTheBiologyandPersonalizedTreatmentofLungCancer,1,1,11,2015
