program.program_id,api_source_search,queried_project_id,grant_id,earliest_fiscal_year
accsis,3,11,28,2018
acsr,1,1,5,2019
admiral,1,1,4,2020
alchemist,3,3,68,2000
artnet,2,6,12,2022
betrnet,3,4,40,2011
c3i,1,1,1,2019
cap_it,2,3,5,2022
cascade,4,13,20,2022
ccbir,1,4,12,2021
ccdi,108,80,133,2014
ccss,2,1,9,2017
cgci,2,2,2,2013
cibmtr_data_resource,3,1,12,2013
cidc,2,5,5,2017
cimac,2,4,8,2017
cirp,3,9,42,2017
cp_ctnet,3,6,29,2019
cptac,4,15,54,2016
csbc,6,56,239,2016
ctd_2,2,19,71,2017
cusp2ct,2,5,9,2022
edrn,7,32,159,2016
enicto,2,5,10,2022
etctn,6,32,286,2003
fusonc2,2,9,16,2018
gdan,4,24,100,2016
hamrcs,2,10,31,2020
htan,4,12,35,2018
impact,2,4,4,2018
iotn,8,29,89,2018
isc3,2,7,38,2019
itcr,22,131,346,2016
metabolic_dysregulation_and_cancer_risk_program,2,6,12,2022
omf,4,69,229,2015
pache,5,46,174,2018
pacmen,2,6,19,2017
pcdc,2,6,19,2017
pdxnet,4,8,44,2017
pe_cgs,2,6,22,2020
pep_ctn,2,2,12,2009
pivot,3,10,49,2015
precinct,2,6,12,2022
prospr,2,4,24,2018
psrc,2,7,15,2022
sclc,5,21,95,2017
spore_brain_cancer_northwestern,1,1,6,2018
spore_brain_cancer_texas,1,1,17,2008
spore_breast_cancer_df_hcc,1,1,10,2013
spore_breast_cancer_msk,1,1,4,2020
spore_breast_cancer_unc,1,1,32,2000
spore_breast_cancer_vanderbilt,1,1,27,2003
spore_epigenetics,1,1,3,2021
spore_gastrointestinal,1,1,15,2007
spore_gastrointestinal_cancer_jhu,1,1,31,2000
spore_gastrointestinal_cancer_mda,1,1,5,2019
spore_in_bladder_cancer,1,1,5,2018
spore_in_brain_cancer_ucsf,1,1,27,2002
spore_in_gastrointestinal_cancer_vanderbilt,1,1,6,2019
spore_in_hepatocellular_carcinoma,1,1,5,2019
spore_in_leukemia_msk,1,1,3,2021
spore_in_lung_cancer_fred_hutch,1,1,6,2019
spore_in_lung_cancer_yale,1,1,11,2015
spore_in_myeloid_malignancies,1,1,6,2017
spore_kidney_cancer_df_hcc,1,1,20,2003
spore_leukemia_texas,1,1,23,2003
spore_leukemia_wustl,1,1,17,2013
spore_liver_mayo_clinic,1,1,10,2018
spore_lung_cancer_emory,1,1,5,2019
spore_lung_cancer_texas,1,1,37,2000
spore_lymphoma,1,1,18,2004
spore_ovarian_cancer_df_hcc,1,1,4,2020
spore_targeted_therapies_for_glioma,1,1,15,2013
tbel,2,6,12,2022
the_chernobyl_tissue_bank_coordinating_center,2,1,11,2012
tlc,4,8,35,2018
